Name,Stars,Distance,Area,Output
Hotel1,6.8,1900,17,262
Hotel2,8.4,1900,16,190
Hotel3,8.4,1900,20,220
Hotel4,8.7,2300,30,140
Hotel5,8.7,2300,36,185
Hotel6,8.6,2300,20,171
Hotel7,7.1,1400,16,150
Hotel8,8.8,2100,32,200
Hotel9,8.7,2000,25,220
Hotel10,7.7,1500,20,250
Hotel11,9,3300,15,130
Hotel12,8.1,1800,22,200
Hotel13,8.4,2200,25,185
Hotel14,8.9,2300,30,195
Hotel15,8.5,2000,22,210
Hotel16,7.9,1900,18,250
Hotel17,8,2300,16,230
Hotel18,8.1,2200,16,220
Hotel19,8.6,2500,18,160
Hotel20,8.3,2400,15,150
Hotel21,8.5,2200,15,180
Hotel22,8.9,1000,18,250
Hotel23,8.1,1000,18,220
Hotel24,7.7,1500,20,230
Hotel25,7.6,1700,18,210
Hotel26,7.8,1200,20,190
Hotel27,8.2,1800,22,210
Hotel28,8.6,2000,24,240
Hotel29,8,1700,18,180
Hotel30,7.4,1500,17,170
Hotel31,8.3,2200,28,205
Hotel32,8.7,2400,30,230
Hotel33,9,3100,35,260
Hotel34,8.1,2000,19,200
Hotel35,8.4,2300,26,225
Hotel36,8.9,2700,32,240
Hotel37,7.3,1200,15,160
Hotel38,7.5,1600,17,180
Hotel39,8.8,2500,30,230
Hotel40,8.5,2100,22,215
Hotel41,9.1,3400,38,270
Hotel42,8.7,2600,28,240
Hotel43,8.3,2200,25,210
Hotel44,7.9,1900,20,195
Hotel45,7.6,1700,19,190
Hotel46,8.2,2000,24,220
Hotel47,8.5,2300,29,235
Hotel48,8,1900,18,200
Hotel49,8.9,3100,36,255
Hotel50,7.8,1600,19,185
